year,month,value
1893,6,-0.147828431373
1893,7,0.0351715686275
1893,8,0.0241715686275
1893,9,-0.124828431373
1893,10,0.0411715686275
1893,11,-0.102828431373
1893,12,-0.0268284313725
1894,1,-0.138828431373
1894,2,-0.0638284313725
1894,3,-0.0628284313725
1894,4,-0.0668284313725
1894,5,-0.107828431373
1894,6,-0.177828431373
1894,7,-0.000828431372549
1894,8,-0.0268284313725
1894,9,-0.142828431373
1894,10,-0.126828431373
1894,11,-0.105828431373
1894,12,-0.0928284313725
1895,1,-0.179828431373
1895,2,-0.363828431373
1895,3,-0.207828431373
1895,4,-0.0888284313725
1895,5,-0.100828431373
1895,6,-0.0178284313725
1895,7,-0.0358284313725
1895,8,0.0511715686275
1895,9,0.0301715686275
1895,10,-0.0268284313725
1895,11,0.0171715686275
1895,12,-0.00182843137255
1896,1,0.100171568627
1896,2,0.0891715686275
1896,3,-0.0658284313725
1896,4,-0.0278284313725
1896,5,0.113171568627
1896,6,0.196171568627
1896,7,0.204171568627
1896,8,0.250171568627
1896,9,0.204171568627
1896,10,0.186171568627
1896,11,0.0311715686275
1896,12,0.284171568627
1897,1,0.114171568627
1897,2,0.188171568627
1897,3,0.0401715686275
1897,4,0.241171568627
1897,5,0.280171568627
1897,6,0.152171568627
1897,7,0.152171568627
1897,8,0.160171568627
1897,9,0.176171568627
1897,10,0.0551715686275
1897,11,-0.140828431373
1897,12,-0.165828431373
1898,1,0.228171568627
1898,2,-0.0628284313725
1898,3,-0.434828431373
1898,4,-0.257828431373
1898,5,-0.157828431373
1898,6,-0.00482843137255
1898,7,-0.0668284313725
1898,8,0.00817156862745
1898,9,-0.0208284313725
1898,10,-0.244828431373
1898,11,-0.133828431373
1898,12,-0.0428284313725
1899,1,0.100171568627
1899,2,-0.179828431373
1899,3,-0.229828431373
1899,4,-0.0348284313725
1899,5,0.00217156862745
1899,6,-0.0738284313725
1899,7,0.0381715686275
1899,8,0.168171568627
1899,9,0.178171568627
1899,10,0.126171568627
1899,11,0.339171568627
1899,12,-0.129828431373
1900,1,0.0681715686275
1900,2,0.152171568627
1900,3,0.0321715686275
1900,4,0.0601715686275
1900,5,0.0441715686275
1900,6,0.139171568627
1900,7,0.124171568627
1900,8,0.132171568627
1900,9,0.0891715686275
1900,10,0.254171568627
1900,11,0.0571715686275
1900,12,0.234171568627
1901,1,0.138171568627
1901,2,0.0441715686275
1901,3,0.0721715686275
1901,4,0.123171568627
1901,5,0.119171568627
1901,6,0.158171568627
1901,7,0.125171568627
1901,8,0.119171568627
1901,9,-0.0328284313725
1901,10,0.0151715686275
1901,11,-0.126828431373
1901,12,-0.122828431373
1902,1,0.0771715686275
1902,2,0.0481715686275
1902,3,-0.0748284313725
1902,4,-0.137828431373
1902,5,-0.0858284313725
1902,6,-0.127828431373
1902,7,-0.0778284313725
1902,8,-0.0548284313725
1902,9,-0.0488284313725
1902,10,-0.167828431373
1902,11,-0.216828431373
1902,12,-0.206828431373
1903,1,0.0501715686275
1903,2,0.113171568627
1903,3,-0.0408284313725
1903,4,-0.157828431373
1903,5,-0.149828431373
1903,6,-0.231828431373
1903,7,-0.180828431373
1903,8,-0.274828431373
1903,9,-0.210828431373
1903,10,-0.339828431373
1903,11,-0.312828431373
1903,12,-0.281828431373
1904,1,-0.319828431373
1904,2,-0.275828431373
1904,3,-0.340828431373
1904,4,-0.239828431373
1904,5,-0.215828431373
1904,6,-0.204828431373
1904,7,-0.208828431373
1904,8,-0.159828431373
1904,9,-0.163828431373
1904,10,-0.161828431373
1904,11,-0.0668284313725
1904,12,-0.0948284313725
1905,1,-0.145828431373
1905,2,-0.385828431373
1905,3,-0.148828431373
1905,4,-0.237828431373
1905,5,-0.0298284313725
1905,6,-0.00682843137255
1905,7,0.0161715686275
1905,8,0.0111715686275
1905,9,-0.00182843137255
1905,10,-0.0488284313725
1905,11,0.0931715686275
1905,12,0.119171568627
1906,1,0.244171568627
1906,2,0.0821715686275
1906,3,0.0271715686275
1906,4,0.202171568627
